esperanc,populaca,ginitrab,renda_me,escoa2_p,urbano_p,med1000,norte,centrooe,sul,nordeste,pop15a_f
62.0130004882813,31980,0.587599992752075,203.362228393555,3.2791314125061,29.3277053833008,0.218886807560921,1,0,0,0,9.59574317932129
61.8499984741211,83684,0.529760003089905,297.504211425781,6.87154197692871,53.7887954711914,0.418240040540695,1,0,0,0,15.2520904541016
63.1619987487793,8174,0.526690006256104,128.076095581055,9.61282730102539,23.4401760101318,0.856373846530914,1,0,0,0,9.37982082366943
65.0339965820313,78934,0.632979989051819,339.326599121094,39.4486351013184,55.786434173584,0.380064368247986,1,0,0,0,15.4443607330322
63.2709999084473,21608,0.579869985580444,260.237152099609,26.4586906433106,68.2015914916992,0.462791562080383,1,0,0,0,14.0395841598511
66.015998840332,38993,0.571460008621216,199.449295043945,9.49151420593262,39.2249908447266,0.307747542858124,1,0,0,0,9.79781246185303
62.7620010375977,10376,0.568719983100891,248.448867797852,15.5002965927124,65.0250549316406,0.771010041236877,1,0,0,0,17.6742115020752
64.1839981079102,23156,0.576349973678589,295.859222412109,32.7099609375,48.3071327209473,0.302297472953796,1,0,0,0,15.0731592178345
64.7050018310547,32583,0.549769997596741,436.987030029297,43.3039474487305,84.1123657226563,0.644507884979248,1,0,0,0,29.1206321716309
65.2229995727539,63535,0.515600025653839,227.027877807617,7.2516074180603,43.5586700439453,0.204611629247665,1,0,0,0,9.50981330871582
64.5100021362305,97799,0.537400007247925,353.284088134766,34.8308258056641,77.1112213134766,0.388552039861679,1,0,0,0,21.516206741333
60.4300003051758,16765,0.545289993286133,208.653015136719,0.877080738544464,29.1738739013672,0.298240393400192,1,0,0,0,9.35974025726318
61.4010009765625,15798,0.423409998416901,136.670959472656,0.252627015113831,31.8458042144775,0.379794925451279,1,0,0,0,6.92446660995483
62.7620010375977,83857,0.557079970836639,226.842071533203,20.7677440643311,27.887845993042,0.226576194167137,1,0,0,0,9.38381481170654
61.9459991455078,48759,0.525550007820129,292.432312011719,32.7333869934082,52.308292388916,0.369162619113922,1,0,0,0,14.1426858901978
62.9900016784668,287534,0.547389984130859,525.138549804688,53.2650604248047,80.0485305786133,1.02248775959015,1,0,0,0,34.3450355529785
65.2229995727539,30064,0.479099988937378,210.892333984375,18.8988094329834,35.9333419799805,0.532197952270508,1,0,0,0,10.1356964111328
64.8730010986328,59751,0.561240017414093,228.730178833008,4.41571426391602,47.3163642883301,0.334722429513931,1,0,0,0,11.7397012710571
59.3230018615723,12328,0.4444600045681,123.701812744141,1.82567083835602,34.7744979858398,0.405580788850784,1,0,0,0,7.88936901092529
64.890998840332,39263,0.553219974040985,505.536071777344,6.10675001144409,87.902099609375,0.585793256759644,1,0,0,0,27.143310546875
58.5610008239746,19458,0.582679986953735,133.732177734375,2.13196873664856,11.3135671615601,0.462534695863724,1,0,0,0,5.23187875747681
57.8219985961914,7248,0.457870006561279,225.424301147461,12.345404624939,51.3796920776367,0.137969091534615,1,0,0,0,11.5483531951904
60.8940010070801,21045,0.521369993686676,151.640747070313,12.1091003417969,37.7021102905273,0.237586125731468,1,0,0,0,9.94240856170654
60.1879997253418,2917,0.369419991970062,232.27131652832,5.23786878585815,55.0984954833984,0.685635924339294,1,0,0,0,14.814001083374
57.9189987182617,20263,0.532190024852753,226.108688354492,7.87401819229126,57.0349884033203,0.888318598270416,1,0,0,0,14.32253074646
63.8250007629395,66603,0.532769978046417,188.970932006836,11.556414604187,41.3329086303711,0.270258098840714,1,0,0,0,14.0713634490967
60.0369987487793,17769,0.500329971313477,171.127227783203,9.40441608428955,40.2442474365234,0.281388938426971,1,0,0,0,7.8707127571106
63.4900016784668,10217,0.401369988918304,123.212844848633,0,35.0936851501465,0.195752173662186,1,0,0,0,8.34316062927246
62.3320007324219,5327,0.517270028591156,135.547668457031,0,49.8487739562988,0.18772292137146,1,0,0,0,4.30527210235596
63.943000793457,15535,0.501039981842041,194.594284057617,1.31149542331696,27.8854198455811,0.321853876113892,1,0,0,0,8.51651763916016
65.620002746582,197376,0.571060001850128,462.888885498047,36.7280883789063,85.4607467651367,0.653574883937836,1,0,0,0,30.142765045166
63.5629997253418,17489,0.469509989023209,246.103652954102,11.0978116989136,36.039794921875,0.114357598125935,1,0,0,0,10.5389785766602
63.7249984741211,24197,0.556819975376129,176.001159667969,7.00313138961792,45.8541488647461,0.413274377584457,1,0,0,0,11.5893592834473
61.6769981384277,27659,0.471599996089935,142.841720581055,7.24939203262329,34.5854873657227,0.361545979976654,1,0,0,0,6.24738216400147
60.1879997253418,12366,0.427910000085831,199.028778076172,18.1880302429199,41.0156898498535,0.646935164928436,1,0,0,0,11.0298776626587
64.5770034790039,8487,0.475670009851456,183.845199584961,2.81154489517212,39.5428314208984,0.235654532909393,1,0,0,0,6.69252681732178
60.9129981994629,4738,0.483929991722107,123.264045715332,2.01180076599121,38.1335372924805,,1,0,0,0,7.41577434539795
60.4010009765625,6024,0.514219999313355,210.119735717773,4.1294732093811,22.0949535369873,0.332005321979523,1,0,0,0,4.32490587234497
60.7109985351563,8990,0.384710013866425,188.501358032227,2.49375629425049,66.7786560058594,0.22246940433979,1,0,0,0,12.5271329879761
62.306999206543,5732,0.516629993915558,259.260589599609,5.10183572769165,40.4570846557617,0.174459174275398,1,0,0,0,6.98880910873413
63.4119987487793,7993,0.460649996995926,108.894401550293,7.47244119644165,27.0361557006836,0.750656843185425,1,0,0,0,5.07618951797485
63.4119987487793,17107,0.619520008563995,201.347290039063,3.61338257789612,37.1953010559082,0.175366804003716,1,0,0,0,10.1712970733643
